protein1 protein2 experimental database textmining combined_score
224308.BSU00090 224308.BSU11660 203 0 0 203
224308.BSU00090 224308.BSU12350 202 0 0 202
224308.BSU00090 224308.BSU37680 202 0 0 202
224308.BSU00090 224308.BSU34480 166 0 0 165
224308.BSU00090 224308.BSU21440 203 0 0 203
224308.BSU00090 224308.BSU11980 202 0 0 202
224308.BSU00090 224308.BSU37150 56 0 306 316
224308.BSU00090 224308.BSU02830 202 0 0 202
224308.BSU00090 224308.BSU32250 266 0 0 266
224308.BSU00090 224308.BSU21590 206 0 0 206
224308.BSU00090 224308.BSU14610 227 0 0 226
224308.BSU00090 224308.BSU23250 227 0 0 226
224308.BSU00090 224308.BSU01150 59 0 205 219
224308.BSU00090 224308.BSU32900 202 0 0 202
224308.BSU00090 224308.BSU23380 213 0 0 213
224308.BSU00090 224308.BSU37810 227 0 0 226
224308.BSU00090 224308.BSU33580 166 0 0 165
224308.BSU00090 224308.BSU41010 227 0 0 226
224308.BSU00090 224308.BSU35360 189 0 0 189
224308.BSU00090 224308.BSU25510 227 0 0 226
224308.BSU00090 224308.BSU05320 166 0 0 165
224308.BSU00090 224308.BSU26600 189 0 0 189
224308.BSU00090 224308.BSU04190 202 0 0 202
224308.BSU00100 224308.BSU23480 0 900 0 900
224308.BSU00100 224308.BSU22320 0 900 0 900
224308.BSU00100 224308.BSU10110 0 900 0 900
224308.BSU00100 224308.BSU01670 0 900 0 900
224308.BSU00100 224308.BSU18350 0 900 0 900
224308.BSU00100 224308.BSU23190 0 900 0 900
224308.BSU00100 224308.BSU19620 0 900 0 900
224308.BSU00110 224308.BSU00120 990 900 649 999
224308.BSU00110 224308.BSU29740 526 0 0 526
224308.BSU00110 224308.BSU30320 172 0 0 171
224308.BSU00120 224308.BSU29740 526 0 0 526
224308.BSU00120 224308.BSU00110 990 900 649 999
224308.BSU00130 224308.BSU03510 497 0 0 497
224308.BSU00130 224308.BSU15430 0 0 225 224
224308.BSU00130 224308.BSU02700 184 0 0 183
224308.BSU00130 224308.BSU00920 0 0 231 230
224308.BSU00130 224308.BSU15920 497 0 0 497
224308.BSU00130 224308.BSU00940 42 0 228 228
224308.BSU00130 224308.BSU31960 497 0 0 497
224308.BSU00130 224308.BSU03490 497 0 0 497
224308.BSU00130 224308.BSU01100 0 0 213 213
224308.BSU00130 224308.BSU37330 221 0 226 371
224308.BSU00130 224308.BSU06680 0 0 210 210
224308.BSU00130 224308.BSU17220 497 0 0 497
224308.BSU00130 224308.BSU17130 497 0 0 497
224308.BSU00130 224308.BSU08350 184 0 0 183
224308.BSU00130 224308.BSU27560 216 0 0 216
224308.BSU00130 224308.BSU17180 555 0 0 555
224308.BSU00130 224308.BSU30320 0 0 225 224
224308.BSU00130 224308.BSU29900 324 0 0 323
224308.BSU00130 224308.BSU38520 497 0 0 497
224308.BSU00130 224308.BSU17210 555 0 0 555
224308.BSU00130 224308.BSU17200 555 0 0 555
224308.BSU00140 224308.BSU06880 538 357 79 702
224308.BSU00140 224308.BSU03490 311 129 0 374
224308.BSU00140 224308.BSU37600 227 0 0 226
224308.BSU00140 224308.BSU10390 522 0 0 522
224308.BSU00140 224308.BSU31960 311 129 0 374
224308.BSU00140 224308.BSU14900 499 0 0 499
224308.BSU00140 224308.BSU17180 483 129 0 530
224308.BSU00140 224308.BSU38150 499 0 0 499
224308.BSU00140 224308.BSU38170 334 0 0 334
224308.BSU00140 224308.BSU38520 311 129 0 374
224308.BSU00140 224308.BSU17210 483 129 0 530
224308.BSU00140 224308.BSU17200 483 129 0 530
224308.BSU00140 224308.BSU16710 307 0 0 307
224308.BSU00140 224308.BSU22550 517 0 0 517
224308.BSU00140 224308.BSU10260 538 357 79 702
224308.BSU00140 224308.BSU38160 499 0 0 499
224308.BSU00140 224308.BSU07840 0 900 0 900
224308.BSU00140 224308.BSU17220 311 129 0 374
224308.BSU00140 224308.BSU37410 307 0 0 307
224308.BSU00140 224308.BSU16860 307 0 0 307
224308.BSU00140 224308.BSU16845 307 0 0 307
224308.BSU00140 224308.BSU03510 311 129 0 374
224308.BSU00140 224308.BSU05780 227 0 0 226
224308.BSU00140 224308.BSU22540 517 0 0 517
224308.BSU00140 224308.BSU14890 953 0 0 953
224308.BSU00140 224308.BSU15920 311 129 0 374
224308.BSU00140 224308.BSU14910 499 0 0 499
224308.BSU00140 224308.BSU17130 311 129 0 374
224308.BSU00140 224308.BSU22560 522 0 0 522
224308.BSU00140 224308.BSU37420 307 0 0 307
224308.BSU00150 224308.BSU38160 499 0 0 499
224308.BSU00150 224308.BSU16710 307 0 0 307
224308.BSU00150 224308.BSU17210 483 129 0 530
224308.BSU00150 224308.BSU17200 483 129 0 530
224308.BSU00150 224308.BSU22550 517 0 0 517
224308.BSU00150 224308.BSU10260 538 357 79 702
224308.BSU00150 224308.BSU38170 334 0 0 334
224308.BSU00150 224308.BSU38150 499 0 0 499
224308.BSU00150 224308.BSU38520 311 129 0 374
224308.BSU00150 224308.BSU17180 483 129 0 530
224308.BSU00150 224308.BSU31960 311 129 0 374
